id,course,uuid
259,802x,OsxZqaWoqkQ
260,802x,69q3mAXnFVQ
261,802x,ccYn6z2drKQ
262,802x,P-_u5esrXrk
263,802x,1OVCAutcWL8
264,802x,5NqGBWuNodA
265,802x,RemvU1CmDyk
266,802x,AKXC3dtsaKg
267,802x,csL7gZ6HyBw
268,802x,u40Z-RB79LE
269,802x,R02jK5WncT4
270,802x,bvghUZHzE7Q
271,802x,LmRYbLuOuHM
272,802x,rsaCO8uKiNc
273,802x,kAYBcy910vc
274,802x,HF2XML5bmww
275,802x,LfOce1U_1js
276,802x,NLOQQmFQRNI
277,802x,RceXmhP99tc
278,802x,j3LYdBT__kQ
279,802x,AHx9hSIOPJ0
280,802x,0ayCgz0-Rn0
281,802x,5DFRuaWgS3I
282,802x,g8AWuMHhXAI
283,802x,vKsS9AfDRFQ
284,802x,tuCwR-_dKqo
285,802x,BUEyA4_MHC8
286,802x,S1npB7n5oWo
287,802x,VoRyVtPyri8
288,802x,K3KoqtMhJeY
289,802x,JS-01sQG3_I
290,802x,E8SGrOqoLIA
291,802x,xIJOZhP_xMo
292,802x,iFGCEbT1jrU
293,802x,VsCjN62Snn0
294,802x,uwd6b9o7jWY
295,802x,I4gXpIt3gO4
296,802x,qFSbjw2liaM
297,802x,hGAIu1ui6Wo
298,802x,x1Y-BLY6Tjs
299,802x,ALXTXbNNj-M
300,802x,39_Oyhy_or0
301,802x,qmSyx-tYfkk
302,802x,wL2w8hHjc2g
303,802x,6b5Bu_eXZvU
304,802x,fo7V8iNaQoM
305,802x,6IrEBcwHg3k
306,802x,MUTq0OmCoFc
307,802x,ct-AlYuuxIc
308,802x,wQEzfokobAk
309,802x,Rf-_Ritc8w0
310,802x,Ohn1V8HT7sk
311,802x,LMTjB3tRSL0
312,802x,jGlMMGEnYbA
313,802x,qe3dhy_8h48
314,802x,90qieMRUhYk
315,802x,jiilnapaJFM
316,802x,3SPUCirjxtY
317,802x,55GLz13tBII
318,802x,qI1_FgW3Enk
319,802x,Gcb0fmUbr24
320,802x,HAruK5wnUTY
0,7012x,wBc8s8o9xAY
1,7012x,W-bZFK54E9w
2,7012x,vEJbn1y2YN0
3,7012x,yFq4EieGWF0
4,7012x,ngAocPc1jW0
5,7012x,tWCVaP1RaxI
6,7012x,e9NaOxjiCos
7,7012x,Nsr4_n5Zi6s
8,7012x,gY5bf7dEJes
9,7012x,MBvgV5Xg_ks
10,7012x,hpMzNXiPmKE
11,7012x,mjBc9JKgJfU
12,7012x,JnwMJLtkaC4
13,7012x,-Gd99mEQIWc
14,7012x,FGoQWsGHJ9E
15,7012x,ZicHvFslO2Y
16,7012x,5VR8ndRpauA
17,7012x,5rPrpdHU6Lg
18,7012x,SLImc8INBfk
19,7012x,evnpj7aX2Hk
20,7012x,RTatvsJGK3I
21,7012x,Ts0eOrjkWl8
22,7012x,dVr_DRd4ovE
23,7012x,CjEOYex__ng
24,7012x,HxTPlFVmukQ
25,7012x,C5lRsZrx_R0
26,7012x,vWFvps95yRE
27,7012x,xo5UPOB2XGg
28,7012x,ymDAQtczyi8
29,7012x,tQkncc_Nvh8
30,7012x,WoOtVS61VOM
31,7012x,-FabivA1484
32,7012x,lRUEOGoC5Eg
33,7012x,-JekPVmi4Yc
34,7012x,kdVA_yAtly4
35,7012x,-c30zKpVKYs
36,7012x,_WMDxOe1EtU
37,7012x,vUOpbhgaDas
38,7012x,LdisbzaNuPg
39,7012x,QqP07DnLYF4
40,7012x,HCALScRHT68
41,7012x,NnbqpO-IYuE
42,7012x,SqNf1JlD7SU
43,7012x,bjSZg15QclU
44,7012x,RUzz5rPqa78
45,7012x,QR3xD9bPNNA
46,7012x,VQmZXw8UBh4
47,7012x,j_4dj7QXgrY
48,7012x,-1GVPjWBFqQ
49,7012x,1mAjps7XUsU
50,7012x,_EFt9ybIp7w
51,7012x,IdFkAV3In0k
52,7012x,Pq3l24TyEbw
53,7012x,LIyX4xlA-6g
54,7012x,LhNCnKc7--k
55,7012x,llTYBEK2iB4
56,7012x,56gbYumAXIg
57,7012x,Xx3aR4zwqQY
58,7012x,pI59If4FOU4
59,7012x,_Zrw5JD-UHc
60,7012x,gg_6L2TZ704
61,7012x,qkYJMqTP5Cc
62,7012x,37dKWZKODUY
63,7012x,MnwLwyrA-_M
64,7012x,YPpKS7VnONY
65,7012x,dMYLy9JEYx8
66,7012x,WLqyppGvEZQ
67,7012x,HrI2gT0Tbyg
68,7012x,a_Oi6TlwmSQ
69,7012x,e_WOU1diDmo
70,7012x,D8m-ZEr9qV8
71,7012x,hpU0kcmfe8g
72,7012x,dLy_GL5ajco
73,7012x,L4NiL-0PIfA
74,7012x,ARAaHyGrCp0
75,7012x,0DB-Gk2IcbQ
76,7012x,t6JOlV40g3Q
77,7012x,CxMrkVsKF8k
78,7012x,bMd67kgm_gI
79,7012x,SrkK-wJ7j_I
80,7012x,0I6iJMtsTA4
81,7012x,dcHNzjo2oD4
82,7012x,uLsVEYdn_e4
83,7012x,3O8yqK63WT8
84,7012x,5yY1snYi2x0
85,7012x,OmOuXptxaTE
86,7012x,Bzj0Si_r0qY
87,7012x,pCsxTr68rHo
88,7012x,3U79DGpG4Nc
89,7012x,YWQ3SZCfOGk
90,7012x,k9cI2jwoX20
91,7012x,PrDv0L_FQu0
92,7012x,znEV0iX2r3E
93,7012x,jBr-bPwVGxE
94,7012x,Lhykdr5uyw4
95,7012x,cDiuRa8pcc4
96,7012x,iFlHZ7L7fYI
97,7012x,K8TWS0QzsFg
98,7012x,ki6ionXCKYE
99,7012x,IuwWZbMZ8xk
100,7012x,NHsfoOMEpVQ
101,7012x,JETRoGkRIpg
102,7012x,DwXHknwBXU8
103,7012x,Cirnb8hSXro
104,7012x,MXmB5QY_9UE
105,7012x,sVo7c4vSZMI
106,7012x,-csELI-3V9M
107,7012x,BsHh9F75FZ4
108,7012x,BXBTP36G0lk
109,7012x,O8TQ2fPFCFk
110,7012x,3ho9NcIrwUs
111,7012x,H6gwYdyn7II
112,7012x,Bf7NQcKAc-Q
113,7012x,KbzhWMtVayc
114,7012x,Cy9mD1AmOwc
115,7012x,-o92Q1VfXj4
116,7012x,mxbCMTlOCno
117,7012x,YN7srcX4ias
118,7012x,Hud3GvGUjNQ
119,7012x,Rd9eLIoQd9s
120,7012x,6aupP-5raoY
121,7012x,cbbnGiiu_SI
122,7012x,FfQJ7wuqV5s
123,7012x,D5fDos1OI7M
124,7012x,hAt47386uXo
125,7012x,spdZq-9T8XQ
126,7012x,imRRrzeSDvM
127,7012x,WcAswogpDC8
128,7012x,UfNOcb8eAiI
129,7012x,lmNg9B4h8h4
130,7012x,hYIzOreWMV8
131,7012x,K0Cxfs9UFNE
132,7012x,_ZJtZk4x7n4
133,7012x,wHiGlKz-cOE
134,7012x,yejB5CPUdfc
135,7012x,kNELzdDF_Vw
136,7012x,zfC22N_2hOc
137,7012x,yb_aCoqzirw
138,7012x,oKAvdAFdweA
139,7012x,REsbl3EDRAc
140,7012x,YPjPDGckQaU
141,7012x,RBMealwjaNI
142,7012x,PC3-Xi04wBA
143,7012x,Ro9vq7FmRYA
144,7012x,YqjpmKv40wc
145,7012x,HFXZmIGrcaE
146,7012x,cJqg4qn6E3E
147,7012x,mFWpUb3lfgI
148,7012x,OUrbSJfWVo4
149,7012x,CYsMRBDQ2yg
150,7012x,OjtW7ritQLg
151,7012x,ap5IaHtvGOk
152,7012x,hf3G4eD23k0
153,7012x,vXvOuunJYXM
154,7012x,gYkcrsvEhRM
155,7012x,lAEWfvYBdL0
156,7012x,8vJfbSDjGKo
157,7012x,r8V-vl9N6QY
158,7012x,Lt5SiDZsBig
159,7012x,dZ4POEpSCd0
160,7012x,khAVWR6JYHE
161,7012x,iYu5bwa9UyE
162,7012x,kbQX-WXTTKA
163,7012x,PZGRgXH5Xa8
164,7012x,z8tyUGbrnTk
165,7012x,_zEV_-BT3LI
166,7012x,gsFld6gZVVw
167,7012x,48e-C540H3E
168,7012x,qwYFGBkJRVA
169,7012x,l9_lT0odWww
170,7012x,WOVpmfoAIiU
171,7012x,Fw4-GbqmDa4
172,7012x,xc_cdw8MaHE
173,7012x,U_J743KJreY
174,7012x,65FH5iNlO-g
175,7012x,naBXoH5dmI0
176,7012x,700x_youtube_ids
177,7012x,zTKgdEPvH0M
178,7012x,Ff6Vky2YlmY
179,7012x,yuPTRGFe-7E
180,7012x,U-GyLD1zHms
181,7012x,avkJQvP3VgU
182,7012x,l8WJbKv7Cuw
183,7012x,1CkZZXWpkEs
184,7012x,DnT3AHElIoY
185,7012x,1ymnjVBpEPw
186,7012x,vHLp_UdTRd0
187,7012x,wxkoRizcVkw
188,7012x,3gvrBmls2rk
189,7012x,twoE1twluQw
0,6002x,y71vV8mxbbw
1,6002x,6nj1OCvSRI8
2,6002x,ESIwJwGFGls
3,6002x,wFH8uqtWSPA
4,6002x,5UWezTI8WcA
5,6002x,YJR2DBIXNsI
6,6002x,MqFWW78C5JI
7,6002x,KWn8YtDlARw
8,6002x,vkB1yKv-z6U
9,6002x,cX6e2zZ14Fs
10,6002x,48PDMyhYVQY
11,6002x,9vogoLiO2jM
12,6002x,9RNLqOV3nTU
13,6002x,Dr52vjOHCEk
14,6002x,0WqeVqiOxMI
15,6002x,yZYbPDvhrgY
16,6002x,R4drsBmHht0
17,6002x,N5TR-OJEFuw
18,6002x,NaWFN7gybZM
19,6002x,FGx1I9LAIGs
20,6002x,eVgIOAc3rrA
21,6002x,BSqKt1f-At4
22,6002x,VyRijfXTAtc
23,6002x,O9tX5vz5cNc
24,6002x,w6tlSJj_wcU
25,6002x,lf80RAv9meE
26,6002x,v9Vs7aqpeIY
27,6002x,vLuFuBK5B-g
28,6002x,IheR61HA7LA
29,6002x,HIxgva6lDXo
30,6002x,ndUaAgdhqOY
31,6002x,RAxyscAwETM
32,6002x,GDHEy1vdEic
33,6002x,t24YP3JIKI8
34,6002x,R4KxlqsuZ0A
35,6002x,K0bSfdyXdtQ
36,6002x,vfJxl88Zm88
37,6002x,bSDQuMKo9Ks
38,6002x,3F_Zg83yl2U
39,6002x,X-68e0Ei7PI
40,6002x,RtyCCE5-C70
41,6002x,8rK9vnpystQ
42,6002x,JB9afp87bmg
43,6002x,wL8keIhc1-A
44,6002x,KhYtUbLlmfA
45,6002x,tdkyZdW6Q5Q
46,6002x,s7hhixHHYoA
47,6002x,6UURLn3-LWw
48,6002x,O36qYmBF47k
49,6002x,TFx6LUdcjQM
50,6002x,7m8pab1MfYY
51,6002x,8qFk4J1GnJk
52,6002x,thx9bZQUZz4
53,6002x,UVFBXMOWn8k
54,6002x,QT7MbAQzuXc
55,6002x,MJBOnZudkOA
56,6002x,Rux9VTPkAoE
57,6002x,vRQVzvZyXrA
58,6002x,HHy3-8bfldY
59,6002x,r5gSBFxDuCw
60,6002x,LTK055utImI
61,6002x,uKaQX89gsz0
62,6002x,3fQRhKuSGsE
63,6002x,ou7LgMGBmkQ
64,6002x,HhzEciXXSzU
65,6002x,OLSkdIY2nNs
66,6002x,sPrAGCitiEw
67,6002x,LSFEUhCZ87A
68,6002x,i3IHkHppuCc
69,6002x,2SwT6JnfCq8
70,6002x,WwJ5_4zaeC8
71,6002x,7ssVrey04Pw
72,6002x,UrJNu9KFEy8
73,6002x,UJu_O4HwP_0
74,6002x,ZCWXx0VfSes
75,6002x,UpbC_s2nOzg
76,6002x,3XreUG5bYhs
77,6002x,JHJoCuIbi8Y
78,6002x,d9YCPd6nZSQ
79,6002x,S9fzplLTbXM
80,6002x,qC4QAKu1JHg
81,6002x,zcLhNDy4aLY
82,6002x,8kARlsUt9lM
83,6002x,Id8zWCeKFAg
84,6002x,rOS0pPcM5k0
85,6002x,PkZXPZJD2CM
86,6002x,pm1uDgK3e80
87,6002x,1Qa71jJ6lkU
88,6002x,XbDRmF6J0K0
89,6002x,FbgxCWfLDRk
90,6002x,R53IGEDBquE
91,6002x,RzfGFGGUdNQ
92,6002x,HtmqD99GIDY
93,6002x,J6xNyT3FfM8
94,6002x,ke3SL_R92ys
95,6002x,-a5l-JuEm-4
96,6002x,CcXgzdi90zs
97,6002x,yehtgMNafbw
98,6002x,MAb9HF4qJqw
99,6002x,KgDbo0rDwrk
100,6002x,JW3ZLKl2mcQ
101,6002x,BimuBdq5KqQ
102,6002x,kb8Lb01Bob4
103,6002x,0ZeuYSMdHJI
104,6002x,Db26EK3jdIw
105,6002x,OoFKydrqT2g
106,6002x,mItCnafKssA
107,6002x,ri5VFFjuSQI
108,6002x,fDtrSZ69xII
109,6002x,T6jJuBoPtK4
110,6002x,FckIoHsHNsQ
111,6002x,3joH_EVnFHI
112,6002x,kUHP--cN_p0
113,6002x,RorXnZl5kYQ
114,6002x,pflzzK47wEo
115,6002x,iFdIUgzzG4w
116,6002x,4cLA-IME32w
117,6002x,LMKqEEiiV5U
118,6002x,R9ulJ9Gu-ik
119,6002x,gl85nH-Gomo
120,6002x,xV-3Bv70riQ
121,6002x,ES4VVGjf13U
122,6002x,ClMTQVuyAM0
123,6002x,AwH1oOUpwDk
124,6002x,N6Ly6_tFy4I
125,6002x,qaOljUCNMFs
126,6002x,uFxur2j8Neo
127,6002x,erwRYiQveAg
128,6002x,FIJEikjwYSw
129,6002x,FS7VH9i14RU
130,6002x,oV_GKiW7I4k
131,6002x,GeHAvrK091w
132,6002x,Ws1DfKmgDjI
133,6002x,cXn5_WFTRRQ
134,6002x,ufpOFgNfkno
135,6002x,5uKqMpQqNtk
136,6002x,h5un9eTgQbU
137,6002x,bmys8aKCjCo
138,6002x,IbyLGICV1l8
139,6002x,jfpBWuBRhzM
140,6002x,PzBZENXgN7g
141,6002x,qxXZuPKCEXk
142,6002x,LQmOCFwCw3s
143,6002x,GAAsrL_HHGI
144,6002x,JqvKtMNz3RQ
145,6002x,NEXQhlQhg7s
146,6002x,o7DDWv1XTuU
147,6002x,LOOsbsBLT7M
148,6002x,pFOrD8k9_p4
149,6002x,30gff5JsupY
150,6002x,q047qI7_Qcg
151,6002x,zO75C2RW1EY
152,6002x,57gRsMb7E54
153,6002x,6SKuj9DL57A
154,6002x,rAOKcmHvM9M
155,6002x,123d7nkScGM
156,6002x,p2Q6BrNhdh8
157,6002x,HSJaH49M8Aw
158,6002x,wZxr3nlnhQo
159,6002x,0hc7okPX0Ec
160,6002x,h2EtLMoAMOQ
161,6002x,ACwDG8aZOpI
162,6002x,COdQmA9g9S8
163,6002x,olfTmIJmESI
164,6002x,YMHdPnSknOI
165,6002x,i-ozoPc7XYs
166,6002x,YCDlXd1VCDM
167,6002x,ps-2t_CBvgI
168,6002x,3IpzOz0OAis
169,6002x,zFeOxEguHig
170,6002x,6OGoyMFaFjo
171,6002x,OEoXaMPEzfM
172,6002x,Oy6SWLhQ93U
173,6002x,A5idDYoKHvY
174,6002x,e8dAaGzDB9A
175,6002x,Yf0W08XJkfg
176,6002x,jg0UwGo_LAM
177,6002x,KLim9Xkp7IY
178,6002x,b93KDTZDYrs
179,6002x,wO-WqB_k9QQ
180,6002x,1XSk8A0AlEQ
181,6002x,dyxcCoUgETU
182,6002x,qeH0acVUHkU
183,6002x,XVI0WhSvFiM
184,6002x,eZEKYbDGFeE
185,6002x,FAPNQjourz8
186,6002x,2s9z1zLOAJY
187,6002x,_uxoI3ejIi8
188,6002x,he_UAl7owSQ
189,6002x,6oymjysZT7Y
190,6002x,w0BgSQZCnLM
191,6002x,ek34PbIE2g0
192,6002x,HSqbzBmd3Lw
193,6002x,GwtdpKJvPyM
194,6002x,aKDzO9l2DJA
195,6002x,zvgph2VRFlM
196,6002x,wDuri01UZe0
197,6002x,v4ki80OhsnA
198,6002x,4_V_8uAVdmg
199,6002x,PZM2lzm7MOI
200,6002x,7fUO2fagfww
201,6002x,8RpRJtbjrZk
202,6002x,96uZhT7tH_U
203,6002x,ma9XMQ5I2Xo
204,6002x,rqIzc_8mwC0
205,6002x,e6L3J55P-a8
206,6002x,P6KqCB8fMhs
207,6002x,CvEBpQooRSU
208,6002x,inE_BjEJqp8
209,6002x,vNMrbPvwhU4
210,6002x,MIYHeZubhCA
211,6002x,XzTH9DXXut0
212,6002x,aoa8PCsrE3Y
213,6002x,qs0RJz5mmYg
214,6002x,2szjZQrVPcA
215,6002x,CeuwZe9tXrg
216,6002x,odVt2Dyogjs
217,6002x,fIxNvrna-sw
218,6002x,OGtElTMJidE
219,6002x,gZ6D6XfuJXA
220,6002x,CdS_Zi6hCeI
221,6002x,qQaE6pLWmCE
222,6002x,IzULGSWdcGk
223,6002x,jZ9HCQ9fhJw
224,6002x,aAJQrTmLvVE
225,6002x,fpbfO-C9Ic8
226,6002x,FLVUXzXfblQ
227,6002x,gc50P_5-E_0
228,6002x,H1H0AaDm5u8
229,6002x,hUdKvZKpZNQ
230,6002x,jeo1R9LskHU
231,6002x,IOIaZE_SWr8
232,6002x,SvgakMnWfL0
233,6002x,9AuNxUce_nU
234,6002x,Fb9VxdICUEs
235,6002x,ZopySooEsTw
236,6002x,t3xxID1Now4
237,6002x,Pcofm5pfJf8
238,6002x,vueelNwZwCc
239,6002x,wPdzCgGTV14
240,6002x,wdLfM9aWB6w
241,6002x,-I9qkECjpvo
242,6002x,xS0q_XMbvTY
243,6002x,aJNNkQPGEMY
244,6002x,2deIoNhqDsg
245,6002x,sD2JKTB77jg
246,6002x,Z6VtNJguPn8
247,6002x,oWsUfA83ehw
248,6002x,-t8_ybtR7tc
249,6002x,GOJS0PDywjQ
250,6002x,Uk2S0x_V040
251,6002x,bEJ0-8pANA4
252,6002x,tuek8ax5lDs
253,6002x,VGrmAKzicNM
254,6002x,SgQ6CH4DC68
255,6002x,Q3IF4g9eH34
256,6002x,kB6-nallVQ4
257,6002x,rf8vYE88DLk
258,6002x,dnUDhavprO8
259,6002x,GgCpm9X2698
260,6002x,N3jXyuAz5Dg
261,6002x,10F9UvWlZrs
262,6002x,gHjz3qq-7ec
263,6002x,ZU2ALNL9tUg
264,6002x,qVJ6RRHL404
265,6002x,Q64zUuDFX_A
266,6002x,t_i32pF-XAk
267,6002x,nMpq_giOO6M
268,6002x,OLd8y51JKxI
269,6002x,vcblK5M2JtI
270,6002x,7trPQs309wo
271,6002x,MCf82a-PK9o
272,6002x,hNMXLMfzkHU
273,6002x,55UTA1eKhik
274,6002x,z5ESmAAeIuw
275,6002x,KKUbQeB9uAM
276,6002x,R1s7x_UVF2Q
277,6002x,bgeeigJepn0
278,6002x,mHvf1lfRoj0
279,6002x,WTxCUn61K2o
280,6002x,vxRip_Fxwi8
281,6002x,Gh72vp5rB14
282,6002x,-RNnPC6fmjY
283,6002x,7LF_wDlQWT8
284,6002x,8_3Je64Rz1I
285,6002x,wsfdXg02VE0
286,6002x,kjZFwlil71k
287,6002x,sQR64KcQ1TE
288,6002x,wvJ48Om5Y7U
289,6002x,Tr5XaA930PM
290,6002x,qsPg03qsxvA
291,6002x,aQo1X4Y0Lo0
292,6002x,jiSZUxAIWNk
293,6002x,9jgMk_m97ew
294,6002x,OboByU_uH-Y
295,6002x,gPwpeiEQaCI
296,6002x,Hk_WLKQPi8g
297,6002x,AHgddk__CDQ
298,6002x,yMO8WynV5-w
299,6002x,bKMI4KzltZ8
300,6002x,HCacXd7yf5I
